Date Started,rebill_lt,unique_users
0,2023-02-02,0,2469
1,2023-02-02,1,1651
2,2023-02-02,2,1169
3,2023-02-02,3,844
4,2023-02-02,4,677
5,2023-02-02,5,556
6,2023-02-02,6,461
7,2023-02-03,0,2348
8,2023-02-03,1,1604
9,2023-02-03,2,1109
10,2023-02-03,3,791
11,2023-02-03,4,622
12,2023-02-03,5,507
13,2023-02-03,6,416
14,2023-02-04,0,1719
15,2023-02-04,1,1148
16,2023-02-04,2,811
17,2023-02-04,3,578
18,2023-02-04,4,434
19,2023-02-04,5,363
20,2023-02-04,6,312
21,2023-02-05,0,1229
22,2023-02-05,1,824
23,2023-02-05,2,569
24,2023-02-05,3,391
25,2023-02-05,4,300
26,2023-02-05,5,249
27,2023-02-05,6,202
28,2023-02-06,0,1086
29,2023-02-06,1,714
30,2023-02-06,2,504
31,2023-02-06,3,371
32,2023-02-06,4,278
33,2023-02-06,5,223
34,2023-02-06,6,189
35,2023-02-07,0,1087
36,2023-02-07,1,738
37,2023-02-07,2,533
38,2023-02-07,3,380
39,2023-02-07,4,291
40,2023-02-07,5,236
41,2023-02-07,6,199
42,2023-02-08,0,1177
43,2023-02-08,1,768
44,2023-02-08,2,530
45,2023-02-08,3,396
46,2023-02-08,4,289
47,2023-02-08,5,227
48,2023-02-08,6,189
49,2023-02-09,0,1231
50,2023-02-09,1,816
51,2023-02-09,2,571
52,2023-02-09,3,422
53,2023-02-09,4,329
54,2023-02-09,5,275
55,2023-02-10,0,1354
56,2023-02-10,1,890
57,2023-02-10,2,609
58,2023-02-10,3,442
59,2023-02-10,4,366
60,2023-02-10,5,301
61,2023-02-11,0,1010
62,2023-02-11,1,639
63,2023-02-11,2,432
64,2023-02-11,3,322
65,2023-02-11,4,248
66,2023-02-11,5,202
67,2023-02-12,0,1116
68,2023-02-12,1,692
69,2023-02-12,2,501
70,2023-02-12,3,373
71,2023-02-12,4,291
72,2023-02-12,5,258
73,2023-02-13,0,1284
74,2023-02-13,1,811
75,2023-02-13,2,543
76,2023-02-13,3,413
77,2023-02-13,4,303
78,2023-02-13,5,259
79,2023-02-14,0,1372
80,2023-02-14,1,819
81,2023-02-14,2,555
82,2023-02-14,3,406
83,2023-02-14,4,313
84,2023-02-14,5,251
85,2023-02-15,0,1024
86,2023-02-15,1,694
87,2023-02-15,2,464
88,2023-02-15,3,352
89,2023-02-15,4,278
90,2023-02-15,5,219
91,2023-02-16,0,1139
92,2023-02-16,1,744
93,2023-02-16,2,501
94,2023-02-16,3,375
95,2023-02-16,4,303
96,2023-02-17,0,1318
97,2023-02-17,1,833
98,2023-02-17,2,578
99,2023-02-17,3,445
100,2023-02-17,4,360
101,2023-02-18,0,1354
102,2023-02-18,1,861
103,2023-02-18,2,578
104,2023-02-18,3,421
105,2023-02-18,4,330
106,2023-02-19,0,1308
107,2023-02-19,1,850
108,2023-02-19,2,598
109,2023-02-19,3,444
110,2023-02-19,4,373
111,2023-02-20,0,1152
112,2023-02-20,1,715
113,2023-02-20,2,475
114,2023-02-20,3,326
115,2023-02-20,4,263
116,2023-02-21,0,1062
117,2023-02-21,1,672
118,2023-02-21,2,482
119,2023-02-21,3,357
120,2023-02-21,4,287
121,2023-02-22,0,724
122,2023-02-22,1,448
123,2023-02-22,2,311
124,2023-02-22,3,227
125,2023-02-22,4,177
126,2023-02-23,0,879
127,2023-02-23,1,559
128,2023-02-23,2,384
129,2023-02-23,3,279
130,2023-02-24,0,817
131,2023-02-24,1,517
132,2023-02-24,2,373
133,2023-02-24,3,273
134,2023-02-25,0,699
135,2023-02-25,1,454
136,2023-02-25,2,330
137,2023-02-25,3,245
138,2023-02-26,0,725
139,2023-02-26,1,438
140,2023-02-26,2,312
141,2023-02-26,3,244
142,2023-02-27,0,853
143,2023-02-27,1,541
144,2023-02-27,2,369
145,2023-02-27,3,287
146,2023-02-28,0,757
147,2023-02-28,1,527
148,2023-02-28,2,328
149,2023-02-28,3,243
150,2023-03-01,0,972
151,2023-03-01,1,603
152,2023-03-01,2,417
153,2023-03-01,3,329
154,2023-03-02,0,1496
155,2023-03-02,1,919
156,2023-03-02,2,637
157,2023-03-03,0,1683
158,2023-03-03,1,1046
159,2023-03-03,2,717
160,2023-03-04,0,1507
161,2023-03-04,1,896
162,2023-03-04,2,610
163,2023-03-05,0,1202
164,2023-03-05,1,761
165,2023-03-05,2,528
166,2023-03-06,0,1135
167,2023-03-06,1,669
168,2023-03-06,2,467
169,2023-03-07,0,743
170,2023-03-07,1,460
171,2023-03-07,2,308
172,2023-03-08,0,656
173,2023-03-08,1,396
174,2023-03-08,2,288
175,2023-03-09,0,916
176,2023-03-09,1,552
177,2023-03-10,0,891
178,2023-03-10,1,537
179,2023-03-11,0,882
180,2023-03-11,1,549
181,2023-03-12,0,670
182,2023-03-12,1,416
183,2023-03-13,0,594
184,2023-03-13,1,329
185,2023-03-14,0,589
186,2023-03-14,1,327
187,2023-03-15,0,521
188,2023-03-15,1,313
189,2023-03-16,0,429
190,2023-03-17,0,648
191,2023-03-18,0,833
192,2023-03-19,0,825
193,2023-03-20,0,639
194,2023-03-21,0,855
195,2023-03-22,0,837
